AC_Number, Constituency,District,Region,Reserved,Lok Sabha Constituency
100,Modakurichi,Erode,Kongu,GEN,Erode
101,Dharapuram,Tirupur,Kongu,SC,Erode
102,Kangayam,Tirupur,Kongu,GEN,Erode
103,Perundurai,Erode,Kongu,GEN,Tiruppur
104,Bhavani,Erode,Kongu,GEN,Tiruppur
105,Anthiyur,Erode,Kongu,GEN,Tiruppur
106,Gobichettipalayam,Erode,Kongu,GEN,Tiruppur
107,Bhavanisagar,Erode,Kongu,SC,Nilgiris
108,Udhagamandalam,Nilgiris,Kongu,GEN,Nilgiris
109,Gudalur,Nilgiris,Kongu,SC,Nilgiris
110,Coonoor,Nilgiris,Kongu,GEN,Nilgiris
111,Mettupalayam,Coimbatore,Kongu,GEN,Nilgiris
112,Avanashi,Tirupur,Kongu,SC,Nilgiris
113,Tiruppur (North),Tirupur,Kongu,GEN,Tiruppur
114,Tiruppur (South),Tirupur,Kongu,GEN,Tiruppur
115,Palladam,Tirupur,Kongu,GEN,Coimbatore
116,Sulur,Coimbatore,Kongu,GEN,Coimbatore
117,Kavundampalayam,Coimbatore,Kongu,GEN,Coimbatore
118,Coimbatore North,Coimbatore,Kongu,GEN,Coimbatore
119,Thondamuthur,Coimbatore,Kongu,GEN,Pollachi
120,Coimbatore South,Coimbatore,Kongu,GEN,Coimbatore
121,Singanallur,Coimbatore,Kongu,GEN,Coimbatore
122,Kinathukadavu,Coimbatore,Kongu,GEN,Pollachi
123,Pollachi,Coimbatore,Kongu,GEN,Pollachi
124,Valparai,Coimbatore,Kongu,SC,Pollachi
125,Udumalpet,Tirupur,Kongu,GEN,Pollachi
126,Madathukulam,Tirupur,Kongu,GEN,Pollachi
127,Palani,Dindigul,South,GEN,Dindigul
128,Oddanchatram,Dindigul,South,GEN,Dindigul
129,Athoor,Dindigul,South,GEN,Dindigul
130,Nilakottai,Dindigul,South,SC,Dindigul
131,Natham,Dindigul,South,GEN,Dindigul
132,Dindigul,Dindigul,South,GEN,Dindigul
133,Vedasandur,Dindigul,South,GEN,Karur
134,Aravakurichi,Karur,Kongu,GEN,Karur
135,Karur,Karur,Kongu,GEN,Karur
136,Krishnarayapuram,Karur,Kongu,SC,Karur
137,Kulithalai,Karur,Kongu,GEN,Perambalur
138,Manapparai,Tiruchirappalli,Central,GEN,Karur
139,Srirangam,Tiruchirappalli,Central,GEN,Tiruchirappalli
140,Tiruchirapalli (West),Tiruchirappalli,Central,GEN,Tiruchirappalli
141,Tiruchirapalli (East),Tiruchirappalli,Central,GEN,Tiruchirappalli
142,Thiruverambur,Tiruchirappalli,Central,GEN,Tiruchirappalli
143,Lalgudi,Tiruchirappalli,Central,GEN,Perambalur
144,Manachanallur,Tiruchirappalli,Central,GEN,Perambalur
145,Musiri,Tiruchirappalli,Central,GEN,Perambalur
146,Thuraiyur,Tiruchirappalli,Central,SC,Perambalur
147,Perambalur,Perambalur,Central,SC,Perambalur
148,Kunnam,Perambalur,Central,GEN,Chidambaram
149,Ariyalur,Ariyalur,Central,GEN,Chidambaram
150,Jayankondam,Ariyalur,Central,GEN,Chidambaram
151,Tittakudi,Cuddalore,North,SC,Cuddalore
152,Vriddhachalam,Cuddalore,North,GEN,Cuddalore
153,Neyveli,Cuddalore,North,GEN,Cuddalore
154,Panruti,Cuddalore,North,GEN,Cuddalore
155,Cuddalore,Cuddalore,North,GEN,Cuddalore
156,Kurinjipadi,Cuddalore,North,GEN,Cuddalore
157,Bhuvanagiri,Cuddalore,North,GEN,Chidambaram
158,Chidambaram,Cuddalore,North,GEN,Chidambaram
159,Kattumannarkoil,Cuddalore,North,SC,Chidambaram
160,Sirkali,Mayiladuthurai,Delta,SC,Mayiladuthurai
161,Mayiladuthurai,Mayiladuthurai,Delta,GEN,Mayiladuthurai
162,Poompuhar,Mayiladuthurai,Delta,GEN,Mayiladuthurai
163,Nagapattinam,Nagapattinam,Delta,GEN,Nagapattinam
164,Kilvelur,Nagapattinam,Delta,SC,Nagapattinam
165,Vedaranyam,Nagapattinam,Delta,GEN,Nagapattinam
166,Thiruthuraipundi,Tiruvarur,Delta,SC,Nagapattinam
167,Mannargudi,Tiruvarur,Delta,GEN,Thanjavur
168,Thiruvarur,Tiruvarur,Delta,GEN,Nagapattinam
169,Nannilam,Tiruvarur,Delta,GEN,Nagapattinam
170,Thiruvidamarudur,Thanjavur,Delta,SC,Mayiladuthurai
171,Kumbakonam,Thanjavur,Delta,GEN,Mayiladuthurai
172,Papanasam,Thanjavur,Delta,GEN,Mayiladuthurai
173,Thiruvaiyaru,Thanjavur,Delta,GEN,Thanjavur
174,Thanjavur,Thanjavur,Delta,GEN,Thanjavur
175,Orathanad,Thanjavur,Delta,GEN,Thanjavur
176,Pattukkottai,Thanjavur,Delta,GEN,Thanjavur
177,Peravurani,Thanjavur,Delta,GEN,Thanjavur
178,Gandharvakottai,Pudukkottai,Central,SC,Tiruchirappalli
179,Viralimalai,Pudukkottai,Central,GEN,Karur
180,Pudukkottai,Pudukkottai,Central,GEN,Tiruchirappalli
181,Thirumayam,Pudukkottai,Central,GEN,Sivaganga
182,Alangudi,Pudukkottai,Central,GEN,Sivaganga
183,Arantangi,Pudukkottai,Central,GEN,Ramanathapuram
184,Karaikudi,Sivaganga,South,GEN,Sivaganga
185,Tiruppattur,Sivaganga,South,GEN,Sivaganga
186,Sivaganga,Sivaganga,South,GEN,Sivaganga
187,Manamadurai,Sivaganga,South,SC,Sivaganga
188,Melur,Madurai,South,GEN,Madurai
189,Madurai East,Madurai,South,GEN,Madurai
190,Sholavandan,Madurai,South,SC,Theni
191,Madurai North,Madurai,South,GEN,Madurai
192,Madurai South,Madurai,South,GEN,Madurai
193,Madurai Central,Madurai,South,GEN,Madurai
194,Madurai West,Madurai,South,GEN,Madurai
195,Thiruparankundram,Madurai,South,GEN,Virudhunagar
196,Thirumangalam,Madurai,South,GEN,Virudhunagar
197,Usilampatti,Madurai,South,GEN,Theni
198,Andipatti,Theni,South,GEN,Theni
199,Periyakulam,Theni,South,SC,Theni
200,Bodinayakanur,Theni,South,GEN,Theni
201,Cumbum,Theni,South,GEN,Theni
202,Rajapalayam,Virudhunagar,South,GEN,Virudhunagar
203,Srivilliputhur,Virudhunagar,South,SC,Virudhunagar
204,Sattur,Virudhunagar,South,GEN,Virudhunagar
205,Sivakasi,Virudhunagar,South,GEN,Tenkasi
206,Virudhunagar,Virudhunagar,South,GEN,Virudhunagar
207,Aruppukottai,Virudhunagar,South,GEN,Tenkasi
208,Tiruchuli,Virudhunagar,South,GEN,Ramanathapuram
209,Paramakudi,Ramanathapuram,South,SC,Ramanathapuram
210,Tiruvadanai,Ramanathapuram,South,GEN,Ramanathapuram
211,Ramanathapuram,Ramanathapuram,South,GEN,Ramanathapuram
212,Mudukulathur,Ramanathapuram,South,GEN,Ramanathapuram
213,Vilathikulam,Thoothukudi,South,GEN,Thoothukudi
214,Thoothukkudi,Thoothukudi,South,GEN,Thoothukudi
215,Tiruchendur,Thoothukudi,South,GEN,Thoothukudi
216,Srivaikuntam,Thoothukudi,South,GEN,Thoothukudi
217,Ottapidaram,Thoothukudi,South,SC,Thoothukudi
218,Kovilpatti,Thoothukudi,South,GEN,Thoothukudi
219,Sankarankovil,Tenkasi,South,SC,Tenkasi
220,Vasudevanallur,Tenkasi,South,SC,Tenkasi
221,Kadayanallur,Tenkasi,South,GEN,Tenkasi
222,Tenkasi,Tenkasi,South,GEN,Tenkasi
223,Alangulam,Tenkasi,South,GEN,Tirunelveli
224,Tirunelveli,Tirunelveli,South,GEN,Tirunelveli
225,Ambasamudram,Tirunelveli,South,GEN,Tirunelveli
226,Palayamcottai,Tirunelveli,South,GEN,Tirunelveli
227,Nanguneri,Tirunelveli,South,GEN,Tirunelveli
228,Radhapuram,Tirunelveli,South,GEN,Tirunelveli
229,Kanniyakumari,Kanniyakumari,South,GEN,Kanniyakumari
230,Nagercoil,Kanniyakumari,South,GEN,Kanniyakumari
231,Colachel,Kanniyakumari,South,GEN,Kanniyakumari
232,Padmanabhapuram,Kanniyakumari,South,GEN,Kanniyakumari
233,Vilavancode,Kanniyakumari,South,GEN,Kanniyakumari
234,Killiyoor,Kanniyakumari,South,GEN,Kanniyakumari
